"Carimbo de data/hora","Nome de usuário","Qual time [Team red]","Qual time [Team blue]","Qual time [Team green]","Qual time [Team yellow]"
"2018/05/05 4:03:59 PM GMT-3","tartaruga@asdf.com","3","2","1","4"
"2018/05/05 4:04:06 PM GMT-3","gato@asdf.com","2","4","3","1"
"2018/05/05 4:04:18 PM GMT-3","papagaio@asdf.com","3","4","1","2"
"2018/05/05 4:05:59 PM GMT-3","rato@asdf.com","3","2","3","1"
"2018/05/05 4:06:06 PM GMT-3","sapo@asdf.com","4","1","1","3"
"2018/05/05 4:07:18 PM GMT-3","cavalo@asdf.com","3","1","2","4"
"2018/05/05 4:07:18 PM GMT-3","boi@asdf.com","3","2","1","4"
"2018/05/05 4:07:18 PM GMT-3","leao@asdf.com","2","3","4","1"
"2018/05/05 4:07:18 PM GMT-3","baleia@asdf.com","3","1","2","4"
"2018/05/05 4:07:18 PM GMT-3","golfinho@asdf.com","3","1","2","4"
"2018/05/05 4:07:18 PM GMT-3","lagartixa@asdf.com","1","3","2","4"
"2018/05/05 4:06:06 PM GMT-3","ra@asdf.com","4","1","1","3"
"2018/05/05 4:07:18 PM GMT-3","ponei@asdf.com","3","1","2","4"
"2018/05/05 4:07:18 PM GMT-3","vaca@asdf.com","3","2","1","4"
"2018/05/05 4:07:18 PM GMT-3","tigre@asdf.com","2","3","4","1"
