"Carimbo de data/hora","Nome de usuário","Qual time [Team red]","Qual time [Team blue]","Qual time [Team green]","Qual time [Team yellow]"
"2018/05/05 4:03:59 PM GMT-3","tartaruga@zoo.com","3","2","1","4"
"2018/05/05 4:04:06 PM GMT-3","gato@zoo.com","2","4","3","1"
"2018/05/05 4:04:18 PM GMT-3","papagaio@zoo.com","3","4","1","2"
"2018/05/05 4:05:59 PM GMT-3","rato@zoo.com","4","2","3","1"
"2018/05/05 4:06:06 PM GMT-3","sapo@zoo.com","4","2","1","3"
"2018/05/05 4:07:18 PM GMT-3","cavalo@zoo.com","3","1","2","4"
"2018/05/05 4:07:18 PM GMT-3","boi@zoo.com","3","2","1","4"
"2018/05/05 4:07:18 PM GMT-3","leao@zoo.com","2","3","4","1"
"2018/05/05 4:07:18 PM GMT-3","baleia@zoo.com","3","1","2","4"
"2018/05/05 4:07:18 PM GMT-3","golfinho@zoo.com","3","1","2","4"
"2018/05/05 4:07:18 PM GMT-3","lagartixa@zoo.com","1","3","2","4"
"2018/05/05 4:06:06 PM GMT-3","ra@zoo.com","4","2","1","3"
"2018/05/05 4:07:18 PM GMT-3","ponei@zoo.com","3","1","2","4"
"2018/05/05 4:07:18 PM GMT-3","vaca@zoo.com","3","2","1","4"
"2018/05/05 4:07:18 PM GMT-3","tigre@zoo.com","2","3","4","1"
