Nome de usuário,strength,role
tartaruga@zoo.com,1,aquatico
gato@zoo.com,2,terrestre
papagaio@zoo.com,1,voador
rato@zoo.com,1,terrestre
sapo@zoo.com,1,aquatico
cavalo@zoo.com,4,terrestre
boi@zoo.com,4,terrestre
leao@zoo.com,3,terrestre
baleia@zoo.com,4,aquatico
golfinho@zoo.com,2,aquatico
lagartixa@zoo.com,1,terrestre
ra@zoo.com,1,aquatico
ponei@zoo.com,1,terrestre
vaca@zoo.com,2,terrestre
tigre@zoo.com,3,terrestre
hipo@zoo.com,3,aquatico
zebra@zoo.com,2,terrestre
hiena@zoo.com,2,terrestre
seahorse@zoo.com,1,aquatico
platypus@zoo.com,1,aquatico
dog@zoo.com,2,terrestre
butterfly@zoo.com,1,voador
