"Nome de usuário","Team red","Team blue","Team green","Team yellow"
"tartaruga@zoo.com","3","2","1","4"
"gato@zoo.com","2","4","3","1"
"papagaio@zoo.com","3","4","1","2"
"rato@zoo.com","4","2","3","1"
"sapo@zoo.com","4","2","1","3"
"cavalo@zoo.com","3","1","2","4"
"boi@zoo.com","3","2","1","4"
"leao@zoo.com","2","3","4","1"
"baleia@zoo.com","3","1","2","4"
"golfinho@zoo.com","3","1","2","4"
"lagartixa@zoo.com","1","3","2","4"
"ra@zoo.com","4","2","1","3"
"ponei@zoo.com","3","1","2","4"
"vaca@zoo.com","3","2","1","4"
"tigre@zoo.com","2","3","4","1"
"hipo@zoo.com","2","3","4","1"
"zebra@zoo.com","2","3","4","1"
"hiena@zoo.com","2","3","4","1"
"seahorse@zoo.com","4","2","1","3"
"platypus@zoo.com","2","3","4","1"
"dog@zoo.com","4","2","1","3"
"butterfly@zoo.com","3","1","2","4"
